Distance,AveragePace
8.7,5.46
8.36,6.83
8.37,6.84
6.82,5.59
2.76,6.49
5.6,5.92
6.25,6.14
6.12,6.12
11.33,8.07
7.53,6.62
2.01,7.65
8.96,6.28
5.77,6.07
4.88,6.17
9.13,6.13
5.33,6.01
10.07,5.69
10.46,6.73
12.09,7.34
5.62,6.02
7.8,6.12
11.23,8.42
5.45,6.33
5.47,6.15
11.03,6.81
6.35,6.0
5.01,5.15
0.7,5.14
12.0,6.47
11.44,5.3
6.89,6.72
10.35,6.07
7.34,8.39
8.15,5.98
10.44,6.87
4.6,6.15
14.0,6.35
4.13,6.0
7.94,5.94
10.0,6.31
3.51,6.54
3.62,5.64
5.04,7.62
9.0,6.86
13.0,5.97
9.02,6.54
14.02,7.89
10.4,6.8
5.01,6.25
5.53,5.89
0.25,5.39
10.03,6.04
12.25,6.37
10.73,6.87
1.96,8.06
7.82,5.93
10.58,6.41
5.08,5.97
10.15,6.17
16.12,6.29
10.17,6.81
5.07,6.26
12.17,6.57
9.52,7.05
2.19,6.19
5.03,4.99
1.92,6.24
12.1,7.22
6.65,6.22
5.05,4.91
2.49,5.28
5.19,5.92
9.03,6.01
2.49,6.47
5.07,5.13
2.61,5.59
15.4,7.04
7.05,5.99
6.01,5.79
5.12,6.15
6.01,5.92
8.29,5.95
6.5,6.21
14.57,6.0
7.06,5.75
6.88,5.63
6.06,6.16
3.89,6.29
6.37,5.79
6.33,5.84
10.57,5.81
1.98,7.73
5.01,5.43
13.15,6.12
5.01,5.65
5.88,5.81
2.9,6.49
1.91,7.97
7.93,5.74
6.68,6.0
8.79,6.08
5.02,5.34
6.35,6.43
21.32,5.83
1.01,5.78
5.25,5.32
10.36,6.0
5.02,5.9
7.08,5.94
2.06,7.52
22.92,6.18
5.46,6.05
5.12,5.92
5.53,5.51
10.16,6.18
7.11,5.98
5.07,4.9
2.15,5.66
13.45,6.18
10.05,5.33
1.11,5.61
12.64,6.08
7.06,6.11
6.76,6.05
7.89,5.75
8.7,5.59
16.43,6.36
1.97,7.66
7.56,6.66
12.13,7.73
21.51,6.3
9.62,6.34
7.05,5.96
6.87,6.13
8.75,6.7
6.81,6.28
10.27,5.96
8.7,5.93
16.59,6.46
7.75,6.17
8.68,6.33
9.23,6.36
18.3,6.17
7.15,5.97
7.71,6.08
8.37,6.69
16.62,6.21
6.87,6.11
6.09,6.22
6.87,5.61
13.38,6.15
5.25,6.24
5.57,6.01
8.43,5.94
8.46,6.26
16.54,6.22
2.66,5.52
6.93,5.55
7.24,8.56
7.04,6.18
3.32,5.65
5.46,6.17
13.36,7.49
4.24,6.1
7.09,6.09
13.61,7.65
12.49,6.15
4.66,5.88
1.49,6.07
8.35,7.01
10.1,5.71
5.07,5.29
2.24,5.95
8.31,6.13
6.48,6.81
8.02,6.04
9.79,6.74
6.29,6.06
5.02,5.22
1.13,5.77
2.03,7.73
5.14,7.66
7.37,7.37
7.89,6.17
5.02,5.98
7.38,6.87
6.76,7.11
12.03,6.22
8.23,6.6
13.95,9.22
3.37,6.85
8.37,6.74
7.16,5.97
10.64,6.32
11.31,6.51
10.03,5.94
9.19,6.68
1.81,6.5
10.02,6.07
5.73,6.22
1.97,7.29
9.52,6.54
5.02,5.72
2.0,7.39
8.39,6.81
1.95,7.97
7.51,7.02
7.11,6.95
5.13,6.28
2.51,6.34
2.95,8.8
1.26,6.26
7.37,6.24
2.11,6.13
2.02,5.89
1.4,7.55
2.51,5.15
2.02,5.49
4.01,6.09
1.75,6.86
1.82,6.28
5.2,7.01
6.2,6.66
3.94,6.13
6.56,6.47
5.67,6.35
5.52,6.46
7.02,5.95
4.13,5.85
2.68,8.29
2.24,5.56
2.0,7.25
1.08,7.88
0.88,6.16
1.85,8.43
10.08,5.68
6.68,8.79
6.68,6.32
9.17,7.95
13.12,8.01
6.7,6.74
4.86,6.5
6.28,6.12
5.37,6.73
3.18,5.9
11.08,8.13
3.07,6.64
2.02,7.51
4.81,6.27
4.38,6.49
11.57,6.99
4.58,6.83
11.55,6.05
1.33,6.77
6.49,6.95
5.5,5.89
10.02,5.91
4.1,6.07
8.01,6.07
4.97,5.36
7.2,7.46
5.01,5.76
8.14,7.23
3.57,5.87
6.92,6.66
5.26,5.89
8.96,6.16
6.83,6.08
3.65,5.59
7.68,6.86
5.02,6.35
8.97,6.68
5.03,4.93
8.09,6.66
6.07,5.92
8.02,6.55
8.47,6.96
3.95,7.31
10.1,5.27
1.07,5.82
6.64,9.35
5.03,5.17
5.86,6.49
7.47,7.71
8.83,7.35
4.78,6.36
10.12,5.32
1.34,5.65
1.53,5.97
5.03,5.67
10.96,7.0
12.54,6.16
5.74,5.96
6.01,6.03
7.18,6.28
8.76,6.93
6.05,5.87
5.93,6.11
9.02,5.93
14.9,8.04
11.21,6.24
6.75,5.94
3.98,7.59
10.59,5.97
5.0,6.12
5.66,6.55
5.15,6.07
7.79,6.41
6.82,5.89
5.09,5.64
6.03,6.68
4.88,9.36
6.66,6.13
10.22,7.56
5.72,7.01
4.14,5.96
8.65,6.92
6.65,6.02
3.16,6.73
10.62,5.8
3.63,6.4
6.05,6.08
0.84,6.61
3.3,7.01
5.0,5.91
7.22,5.97
3.36,6.45
10.89,5.98
6.74,5.86
2.61,6.28
1.41,6.24
3.06,5.39
6.91,5.98
6.85,6.05
7.49,5.62
6.61,6.07
10.02,6.9
8.88,6.13
5.03,5.55
9.09,6.42
7.93,6.58
11.84,6.14
6.02,5.76
8.32,5.89
12.44,5.97
5.95,5.92
8.3,5.69
6.52,6.28
10.24,6.18
5.23,6.19
11.45,6.42
5.1,6.14
15.56,7.84
7.39,5.78
8.15,5.84
9.57,6.97
9.42,5.77
5.12,6.15
21.32,6.3
9.35,6.88
7.74,6.01
8.41,6.65
10.02,5.62
8.06,6.66
13.83,6.35
5.02,6.3
22.52,6.92
4.02,6.24
9.29,6.58
3.25,6.45
7.01,5.78
2.52,6.29
16.8,6.58
10.13,5.36
1.03,5.8
14.92,6.74
5.74,5.41
3.89,6.38
8.34,6.0
3.95,6.74
7.23,6.34
2.15,5.79
6.91,7.49
8.21,5.85
10.04,5.66
5.01,5.78
5.65,6.27
12.96,6.99
5.02,6.01
10.96,6.96
5.41,5.64
0.87,6.82
13.08,5.58
10.11,5.29
2.24,5.73
3.1,5.46
11.55,5.81
5.08,4.94
2.24,5.63
8.03,7.01
5.89,4.98
2.07,6.0
8.21,6.88
1.64,6.13
0.25,6.77
5.05,5.88
9.73,6.6
11.27,6.69
7.57,6.93
2.89,6.1
10.11,5.77
11.39,6.72
10.16,5.39
1.03,5.85
3.93,5.87
11.35,6.86
9.07,5.61
5.52,5.58
5.52,5.45
9.04,6.34
8.89,6.47
3.95,5.83
5.03,4.95
1.15,5.07
7.16,5.64
6.7,6.01
6.02,6.37
1.39,5.53
5.66,5.76
5.02,5.66
8.08,5.9
5.03,5.82
4.87,5.34
3.25,6.15
7.54,7.22
2.84,5.29
8.99,6.19
9.11,6.0
5.12,5.87
6.69,5.79
1.6,5.74
5.07,5.68
5.6,6.78
1.36,5.5
21.29,5.99
9.34,6.06
6.59,5.81
8.8,6.58
16.99,6.17
1.51,6.66
8.9,6.53
1.45,5.8
2.53,6.36
3.6,5.56
2.58,5.6
8.62,6.6
5.03,6.43
3.51,5.55
16.09,5.41
0.98,6.29
3.1,5.14
7.77,7.08
1.63,6.0
5.01,5.92
6.83,6.05
1.4,5.72
5.24,6.33
8.34,5.7
11.76,5.63
1.61,8.96
1.68,6.51
9.56,6.74
1.46,6.63
5.02,6.31
7.78,6.44
1.49,5.82
10.15,6.32
1.51,6.52
8.54,6.72
3.07,6.35
5.02,6.53
13.16,6.18
8.75,6.49
1.3,5.65
4.59,6.58
1.53,6.36
5.25,5.62
1.44,6.03
4.0,6.43
1.54,6.36
8.53,6.33
1.66,6.41
1.53,6.43
8.08,5.7
1.5,6.0
3.04,6.22
11.1,6.04
3.31,5.95
1.4,6.48
5.6,5.46
1.51,5.58
1.53,6.16
8.33,6.6
1.48,5.9
7.44,6.0
1.51,5.98
0.5,5.8
4.95,5.1
2.53,5.84
1.44,6.79
9.07,6.68
1.46,6.3
5.04,6.0
11.44,6.03
1.55,6.56
7.95,6.68
1.5,6.41
0.54,6.27
6.02,5.78
1.86,6.55
1.98,6.02
4.97,5.15
2.38,6.12
1.53,6.66
8.45,6.7
1.93,6.29
9.47,6.31
1.21,6.08
4.97,5.07
2.47,5.44
11.18,6.67
5.69,6.11
3.56,6.06
10.56,6.74
8.07,5.93
10.01,5.4
8.06,7.06
3.44,6.09
8.2,6.88
6.06,5.69
5.01,5.27
5.02,6.22
5.01,5.39
10.09,5.78
4.0,5.95
10.01,6.5
3.9,5.98
8.47,6.27
3.01,5.98
1.01,5.82
5.05,5.59
2.24,5.84
0.25,6.62
5.0,5.8
5.03,6.03
7.47,5.97
3.03,5.98
6.25,6.6
5.04,6.6
5.01,5.9
5.02,6.08
3.74,5.97
2.22,6.27
4.02,5.69
3.47,6.55
3.67,5.78
3.07,5.84
3.03,5.96
3.01,5.86
2.62,5.61
2.54,5.94
2.55,5.72
2.37,5.94
0.68,5.27
2.05,5.81
2.05,5.68
3.02,5.96
2.79,5.77
2.53,6.07
1.02,6.06
5.51,5.88
2.1,6.9
3.56,6.37
8.06,5.93
1.84,6.21
0.72,5.75
9.03,5.99
5.05,5.77
7.74,5.81
5.02,5.56
7.05,5.7
5.04,5.67
6.03,5.78
4.72,5.45
5.04,5.36
5.02,5.8
5.04,5.87
5.03,5.4
5.05,5.95
4.02,5.78
4.05,5.79
3.25,5.89
3.16,5.86
1.06,5.68
3.02,5.72
3.27,6.59
1.42,7.74
10.03,5.83
7.2,6.4
7.49,5.66
5.03,5.56
7.57,5.86
14.12,5.51
6.69,5.46
3.46,5.4
5.03,5.07
8.03,5.34
15.01,5.49
8.74,5.11
10.03,4.92
5.01,5.09
21.17,5.68
3.34,5.04
2.48,5.28
10.8,5.24
5.27,5.4
10.02,5.52
10.02,4.84
1.92,5.77
5.02,5.56
10.02,5.18
5.22,5.25
16.63,5.6
10.03,5.57
10.02,5.19
5.09,4.61
5.03,5.21
21.22,5.65
10.3,5.49
5.02,5.74
6.74,5.07
15.08,5.36
5.02,5.38
5.07,5.04
18.53,5.53
10.32,5.35
10.02,4.99
0.33,5.38
6.48,4.93
5.33,5.35
16.57,5.28
5.05,5.18
11.58,5.06
6.02,5.39
15.04,5.32
6.09,5.41
5.01,4.75
10.13,5.28
4.95,5.11
10.04,5.13
5.11,5.16
2.93,5.54
15.33,5.1
5.6,4.84
0.15,4.89
11.85,5.24
6.84,5.19
5.17,5.09
5.28,5.28
2.48,5.98
14.17,5.38
6.02,5.06
13.31,5.36
6.02,5.01
12.14,5.41
6.69,5.0
10.02,4.96
11.03,5.11
5.29,5.05
10.15,5.24
10.26,5.22
6.7,5.37
7.11,5.22
10.07,5.39
6.44,5.66
0.16,7.21
6.64,5.4
6.65,5.56
10.02,5.48
7.64,5.14
6.36,5.27
7.87,5.46
6.9,5.18
5.99,5.15
8.26,6.08
5.44,5.09
10.02,5.44
5.22,5.35
6.21,5.32
4.94,4.87
2.44,5.32
5.43,5.37
6.77,5.51
4.84,5.2
5.11,6.45
1.15,5.59
4.88,4.9
2.08,5.63
6.77,5.45
1.17,5.3
4.78,5.08
1.95,5.57
6.93,5.38
4.9,4.81
2.04,5.14
2.94,5.9
5.92,5.68
7.11,5.05
5.26,5.44
4.85,4.93
7.01,5.61
6.1,5.68
5.01,5.09
6.21,5.87
4.94,5.29
5.92,5.9
4.54,5.53
4.94,5.4
4.95,5.31
4.99,5.31
4.94,5.45
3.51,6.01
4.95,5.7
4.91,5.26
5.56,5.77
5.02,5.77
2.68,6.08
3.81,6.19
21.27,5.48
5.84,5.49
5.9,5.53
10.13,5.17
5.91,5.41
5.84,5.5
5.72,5.59
21.37,5.85
6.91,5.46
6.02,5.53
8.34,5.85
15.13,5.9
10.02,5.54
10.5,5.65
5.04,4.77
5.51,5.73
4.95,4.83
5.09,4.74
5.81,5.57
17.24,5.79
5.0,4.79
5.05,5.75
12.78,5.71
4.93,4.86
5.01,5.42
11.39,5.8
6.16,5.48
4.95,4.89
5.64,5.49
10.32,5.74
2.73,5.62
5.03,5.03
7.89,5.85
6.73,5.63
10.03,5.87
4.87,5.28
4.96,5.11
6.51,5.55
4.98,5.19
6.0,5.49
5.63,5.46
4.98,5.17
5.03,5.54
3.76,5.23
4.95,5.39
5.03,5.67
5.04,5.55
4.95,5.35
4.96,5.26
4.03,5.68
4.96,5.37
0.7,5.39
4.96,5.57
4.41,5.29
5.18,5.06
4.86,5.52
0.51,6.07
1.32,5.7
5.14,5.43
1.28,5.52
0.8,5.44
2.54,5.53
3.55,6.09
2.32,6.26
2.44,6.18
2.36,6.39
0.09,5.24
2.79,6.78
2.83,6.7
2.72,7.02
2.62,7.14
2.57,7.25
1.74,5.92
3.51,5.62
2.94,6.07
1.09,5.28
3.03,5.52
2.94,5.48
4.03,5.86
4.04,6.09
2.84,5.64
2.55,5.93
3.33,5.57
3.32,5.69
3.53,5.62
5.03,5.73
3.45,5.49
3.35,5.86
5.03,5.76
3.37,6.14
1.28,6.23
4.04,6.1
4.26,5.43
7.11,5.83
6.23,6.03
6.91,6.02
5.18,5.89
4.16,5.95
5.1,6.11
3.96,6.45
4.56,6.36
2.4,6.63
8.98,6.09
8.39,6.0
5.3,6.11
7.02,6.21
4.88,5.83
3.38,6.21
4.94,5.82
4.77,6.07
4.69,5.56
3.29,5.78
5.35,5.58
1.81,5.28
4.86,5.32
4.55,6.09
4.59,6.02
21.17,6.11
5.01,5.88
11.65,5.69
10.11,5.51
4.82,5.76
22.4,5.88
8.65,5.59
13.73,5.77
5.05,5.36
11.63,5.8
6.81,5.57
20.41,6.11
8.89,5.49
9.81,5.81
17.78,6.25
8.29,6.18
6.28,6.32
16.21,6.4
8.07,6.05
8.08,6.11
10.88,5.91
6.98,6.57
7.11,5.98
6.11,5.79
12.01,6.14
6.69,5.6
6.77,6.38
10.46,6.45
6.58,6.81
5.7,6.04
8.18,6.25
4.88,6.33
5.35,6.39
5.32,6.24
3.54,6.52
2.22,6.36
4.11,5.53
3.48,5.08
3.41,5.35
3.24,4.73
3.14,5.35
2.59,5.84
3.08,5.26
2.57,5.57
2.02,4.75
3.32,6.36
2.31,5.74
11.2,5.95
4.64,5.59
4.86,4.97
7.42,5.47
5.56,5.6
18.46,6.21
6.13,5.33
14.0,5.57
11.71,5.68
5.0,5.16
6.95,5.27
8.16,6.14
5.92,5.36
5.17,5.47
5.17,5.1
5.07,5.36
6.1,5.29
6.65,5.45
3.78,5.22
8.16,5.2
6.1,5.19
4.67,5.29
3.1,6.16
8.63,5.19
3.58,5.27
6.09,5.0
4.36,5.19
8.89,5.52
3.91,5.23
6.28,5.37
6.24,5.43
6.06,5.31
2.64,5.04
6.09,5.13
5.15,5.08
5.97,6.44
5.1,5.05
5.14,5.14
3.94,5.1
10.12,5.52
5.24,5.38
9.18,5.48
7.5,5.48
5.0,6.23
4.81,5.19
8.25,5.21
10.22,5.45
10.35,5.31
2.55,5.02
10.14,5.6
7.97,5.28
8.28,5.32
5.46,5.59
1.47,5.2
1.11,5.1
10.1,5.44
3.9,5.11
10.62,5.38
10.24,5.46
10.57,4.61
8.4,5.9
5.01,4.89
3.45,6.38
5.0,7.0
3.0,6.67
4.5,6.89
2.71,7.0
3.04,5.72
7.11,6.2
6.45,6.51
5.13,5.62
7.64,7.07
5.14,5.81
3.73,5.92
3.73,5.92
5.15,5.72
3.29,5.77
3.88,5.47
3.93,5.52
3.0,5.66
3.76,5.52
6.29,5.68
3.56,5.56
5.49,5.56
2.91,5.55
3.56,5.64
3.67,5.61
3.2,5.63
5.11,5.82
5.67,5.81
4.93,6.2
6.69,7.73
6.38,7.44
2.04,7.24
5.59,7.95
3.78,7.75
4.24,7.59
5.1,7.32
5.24,7.5
5.24,8.59
5.25,9.04
5.1,8.31
4.31,8.0
3.79,8.56
2.13,8.91
3.24,8.6
3.18,9.31
3.34,8.89
1.34,9.98
1.69,8.79
3.59,9.67
1.44,5.74
1.65,6.65
1.63,6.68
1.54,7.72
1.57,7.67
2.42,7.59
2.28,8.49
2.4,8.07
2.24,8.19
2.2,8.62
2.13,9.56
