Month,TotalDistance,AveragePace,RunCount
2011-01,11.25,8.57,5
2011-02,8.81,7.28,5
2011-03,5.03,8.55,2
2011-04,6.37,9.1,3
2011-07,32.24,8.63,8
2011-08,23.95,7.62,5
2011-09,2.04,7.24,1
2011-11,13.06,7.59,2
2012-07,10.61,5.99,2
2012-08,8.31,5.75,2
2012-09,15.63,5.59,4
2012-10,27.71,5.6,7
2012-11,12.61,5.84,3
2012-12,12.79,6.56,2
2013-01,36.94,6.42,8
2013-02,27.43,5.28,4
2013-03,34.86,5.39,4
2013-04,8.05,5.45,3
2013-05,39.28,5.35,5
2013-06,23.27,5.31,3
2013-09,5.0,6.23,1
2013-10,7.5,5.48,1
2013-11,24.53,5.45,3
2014-01,25.29,5.41,5
2014-02,6.09,5.13,1
2014-03,34.03,5.37,6
2014-04,36.53,5.26,7
2014-05,11.94,5.2,2
2014-06,42.23,5.5,7
2014-07,23.65,5.45,3
2014-08,44.16,5.81,4
2014-09,30.43,5.61,5
2014-10,3.32,6.36,1
2015-01,2.02,4.75,1
2015-03,5.65,5.4,2
2015-04,12.38,5.29,4
2015-07,7.6,5.32,2
2015-11,5.76,6.46,2
2015-12,71.95,6.26,10
2016-01,114.49,6.1,12
2016-02,88.69,5.82,7
2016-03,52.76,5.85,5
2016-05,14.0,5.8,3
2016-06,19.91,5.7,5
2016-07,13.2,5.92,3
2016-08,29.7,6.1,4
2016-11,6.96,6.45,2
2016-12,3.96,6.45,1
2017-01,21.35,6.0,4
2017-02,13.34,5.93,2
2017-05,4.26,5.43,1
2017-06,4.04,6.1,1
2017-09,1.28,6.23,1
2017-10,3.37,6.14,1
2017-11,27.04,5.68,7
2018-01,13.46,5.89,4
2018-03,10.0,5.65,4
2018-04,3.51,5.62,1
2018-05,1.74,5.92,1
2018-06,13.62,6.96,6
2018-07,10.68,6.21,4
2018-09,2.54,5.53,1
2018-11,0.8,5.44,1
2019-01,1.28,5.52,1
2019-04,11.83,5.52,4
2019-05,24.25,5.38,6
2019-06,55.31,5.4,11
2019-07,59.06,5.59,9
2019-08,94.01,5.45,13
2019-09,116.45,5.61,13
2019-10,36.81,5.56,4
2019-11,18.18,5.68,4
2019-12,23.34,5.53,5
2020-01,54.77,5.5,10
2020-02,62.57,5.38,15
2020-03,81.84,5.38,13
2020-04,98.16,5.32,13
2020-05,99.99,5.24,12
2020-06,119.59,5.19,15
2020-07,124.49,5.37,14
2020-08,105.85,5.31,14
2020-09,97.31,5.38,10
2020-10,37.32,5.87,5
2020-11,1.42,7.74,1
2020-12,3.27,6.58,1
2021-01,3.02,5.72,1
2021-02,25.62,5.76,7
2021-03,25.86,5.66,5
2021-04,41.48,5.79,8
2021-05,20.24,6.1,5
2021-06,18.03,5.83,8
2021-07,31.4,5.94,10
2021-08,42.09,6.14,9
2021-09,47.79,6.04,9
2021-10,73.01,6.14,11
2021-11,121.02,6.15,28
2021-12,86.98,6.14,22
2022-01,138.19,6.19,24
2022-02,8.53,6.07,2
2022-03,99.18,6.19,14
2022-04,100.13,5.96,18
2022-05,96.15,6.0,14
2022-06,81.48,6.27,14
2022-07,69.41,6.77,11
2022-08,104.36,6.21,14
2022-09,111.07,6.44,13
2022-10,76.54,6.52,7
2022-11,108.44,6.13,13
2022-12,65.62,6.06,11
2023-01,126.7,6.46,21
2023-02,84.25,6.5,11
2023-03,82.81,6.33,12
2023-04,75.79,6.57,12
2023-05,46.36,6.31,7
2023-06,57.94,6.35,9
2023-07,55.32,6.56,10
2023-08,73.13,7.37,10
2023-09,13.89,6.25,4
2023-10,23.58,6.39,6
2023-11,12.23,6.42,2
2023-12,22.91,6.54,6
2024-01,18.69,6.06,7
2024-02,25.22,6.99,5
2024-03,65.64,6.43,11
2024-04,102.11,6.84,12
2024-05,124.68,6.47,19
2024-06,114.76,6.36,15
2024-07,139.14,6.22,14
2024-08,134.94,6.36,14
2024-09,112.65,5.95,15
2024-10,91.21,5.94,13
2024-11,83.53,5.94,12
2024-12,39.58,6.38,5
2025-01,112.87,6.28,17
2025-02,58.56,6.39,7
2025-03,106.36,6.56,14
2025-04,89.35,6.4,10
2025-05,53.04,6.66,8
2025-06,81.83,6.41,11
2025-07,64.3,6.5,9
